sentences
an impeccably tailored short length jacket crafted in stretch virgin wool the feminine two button piece has narrow lapels a tapered waist and flap pockets and is finished with a signature staple detail under the back collar the cuffs feature slits to the sleeves for turn up functionality clean geometric seaming completes the jacket which pairs perfectly with dresses and skirts thanks to its shorter length part of the boss womenswear fundamentals collection a capsule of modern business essentials that will form the essence of your tailored wardrobe for years to come 
gift boxed suspenders with leather trim and gunmetal hardware
expertly crafted suspenders by boss designed in a stretch fabric with leather trim these adjustable suspenders are fitted with durable hardware in a gunmetal finish presented in a branded box this masculine accessory makes the perfect gift 
stretch wool blazer with peak lapels
a feminine structured blazer crafted in stretch virgin wool designed with gently curved peak lapels slightly slanted flap pockets and a signature staple detail at the collar stand this classic two button jacket features detailed internal workmanship including amf stitching and inner pockets a versatile option the mid length silhouette works equally well with pants and skirts part of the boss womenswear fundamentals collection a capsule of modern business essentials that will form the essence of your tailored wardrobe for years to come 
stretch wool blazer with curved lapels 
a feminine blazer cut to a longer form flattering length with shape enhancing curved seaming through the back and branded gold hardware detail at the collar stand this stretch wool blazer offers an impeccable option that works across many occasions finished with detailed internal workmanship this blazer is part of the boss womenswear fundamentals collection a capsule of modern business essentials that will form the essence of your tailored wardrobe for years to come 
regular fit v neck t shirt in soft cotton
a versatile design in soft cotton by boss menswear cut to a straight fit with a v neckline this short sleeved t shirt is trimmed with boss logos at the left chest and shoulder layer it under sporty zippered jackets for an adaptable foundation 
slim fit cropped pants
impeccably cut cropped leg pants in a soft wool blend fabric easy to style these smart slim fit pants feature a hook and eye front closure front crease detailed internal workmanship and a stabilized waistband for confidence and comfort part of the boss womenswear fundamentals collection a capsule of modern business essentials that will form the essence of your tailored wardrobe for years to come 
boot leg pants in italian stretch virgin wool
flattering pants by boss womenswear featuring a boot cut leg and a crisp crease through the front created in italian virgin wool with added stretch these modern pants are designed with a neat side zipper and without pockets for a clean and feminine silhouette the leg length and inner waistband can be altered to achieve the perfect fit 
italian silk tie
classic style demands classic essential pieces such as this pure silk boss tie 
cotton dress shirt
""
regular fit polo shirt in fine piqué
treat your wardrobe to this classic polo shirt crafted from yarn dyed piqué for softness and long lasting color shaped in a regular fit and featuring a two button placket the polo features tonal embroidery to the left chest and flat knit cuffs team with pressed chinos for a contemporary take on weekend wear 
leather derby dress shoe carmons
these leather derby dress shoe have a polished finish made for formal settings an almond toe is a handsome design with a modern look disclaimer dress shoes are available online in us sizes but the shoe and shoe box label list its uk equivalent please reference the size chart when making a purchase 
virgin wool suit slim fit huge genius
this suit by boss is made of virgin wool for luxurious comfort a tailored finish provides impeccable style enjoy complimentary alterations for unfinished trouser bottoms on full price and sale purchases if this service is required please bring receipt to store for tailoring 
italian silk slim tie
this tie by boss is made from pure silk the slim silhouette makes a transitional piece for both semi formal and formal occasions 
italian wool suit regular fit the james sharp
this suit by boss is crafted in super s virgin wool from italy s lauded guabello biella mill for a soft and luxurious feel that distinguishes it from other suits traditional details including notched lapels double back vents and three pocket styling on the jacket complete the style model is with a waist and is wearing size r our regular fit suit provides a relaxed silhouette bring this suit to a hugo boss store near you for hemming at no charge alterations are complimentary on full price items only charges will be applied for items purchased on sale this style has a matching vest that is sold separately please consider purchasing the westin for a complete look 
jacquard pocket square in pure silk
add this soft refined pocket square by boss menswear to your business wardrobe woven with an intricate jacquard texture this elegant accessory has been expertly crafted in italy from the finest silk pair with a silk tie to pull together an elevated formal ensemble 
two tone belt in vegetable tanned leather
an elegant staple this versatile partially lined belt from boss menswear is crafted from rich vegetable tanned leather with a subtle two tone effect the design is fitted with a polished gunmetal pin buckle with subtle engraved logo detail add this to your core collection for an impeccable finish to any outfit 
italian made bow tie in pure silk
this elegant bow tie is designed in a classic batwing silhouette by boss menswear crafted in italy from pure silk the fabric features a subtle jacquard texture for added detail combine with a matching silk pocket square to finish a sharp evening ensemble 
leather belt with metal logo senol
this belt by boss is crafted from fine cow skin leather a square buckle and metal logo at the belt loop finish the style hugo boss suggests ordering belts one size up from your actual pant size for the best fit 
jacquard pocket square in pure cotton
crafted in italy from cotton this refined pocket square by boss menswear adds character to tailored suit jackets the jacquard fabric has been woven to create a subtly intricate texture pair with a matching tie for professional polish 
silk bow tie and cummerbund set
treat your formal collection to this coordinated set crafted in italy from silk by boss menswear featuring a classic bow tie and an elegant pleated cummerbund this duo adds a refined finishing touch to sharp tuxedos presented in a contemporary gift box bow tie cm in wide x cm in long hook and eye closure cummerbund cm in wide x cm in total length adjustable 
italian made bow tie in pure silk
made from the purest silk this refined bow tie by boss menswear makes an elevated evening wear statement expertly crafted in italy the lustrous fabric exhibits a subtle jacquard texture giving extra depth of detail team with a crisp covered placket shirt for a clean modern esthetic 
baseball cap in cotton twill with embroidered logo 
a versatile accessory in lightweight cotton twill by boss this structured cap features a distinctive logo and stitched highlights in a contrast tone and fastens with an adjustable metal closure with lasered logo detail round off sports casual looks with this breathable design 
slim fit jeans in stay black denim
contemporary denim jeans with a touch of stretch by hugo menswear the mid weight jeans have been treated with stay black technology to deliver lasting depth of color while a special finish provides a slight sheen lending a versatile edge to the low rise slim fit design team with a sharp tailored shirt and directional belt for urban appeal 
regular fit t shirt in mercerized cotton
a versatile wardrobe staple in soft cotton by boss menswear crafted to our regular fit this short sleeved silhouette has a gentle v neckline with tonal single jersey taping for luxurious comfort use this essential as a lightweight top or as an adaptable layering option 
reversible leather belt with double buckle 
a versatile belt crafted from rich leather and delivered in an elegant branded box this intelligent twist on an essential includes a double buckle feature with a pin and embossed plaque each crafted in brushed silver the perfect gift for his professional collection 
regular fit interlock cotton sweatshirt with reverse logo
a modern piece in soft interlock cotton by hugo man designed in a comfortable regular fit this directional long sleeved sweatshirt is detailed with a bold reverse logo at the center chest pull together an urban casual look with this statement piece 
long sleeved t shirt in mercerized cotton with ribbing
a long sleeved t shirt by boss menswear offered in a regular fit for casual comfort created in mercerized cotton this crew neck style features ribbed sleeves for textural interest a flag label at the side seam adds a touch of branding to this modern t shirt 
slim fit pants with zipped hems
a refined take on a wardrobe staple in lightweight fabric blended with cotton by boss womenswear these adaptable pants feature a contemporary slim leg modern zipped hems and a key cropped length work them into your business looks or build impeccable leisure looks with knitwear and leather jackets 
slim fit cotton blend blouse with mock placket 
this slim fit short sleeved blouse is a reliable option for everyday formal looks crafted in a lightweight cotton blend fabric the design has a mock placket and concealed side zippers create a clean feminine aesthetic and a signature staple detail at the back of the collar adds a luxurious touch perfect for a summery formal look and for layering with knitwear in the winter part of the boss womenswear fundamentals collection a capsule of modern business essentials that will form the essence of your tailored wardrobe for years to come 
slim fit blouse with darted seam detail 
an essential blouse featuring darted seams and concealed side zippers for a flattering fit featuring a signature staple detail at the back collar the slim fit design has long sleeves and a covered front placket for a clean finish part of the boss womenswear fundamentals collection a capsule of modern business essentials that will form the essence of your tailored wardrobe for years to come 
italian calfskin workbag signature s doc
room for your laptop and other essentials makes this boss piece a versatile asset for business needs both at home and abroad palmellato embossing offers a textured update to essential masculine portage style 
regular fit t shirt with contrast detail
add this regular fit cotton jersey t shirt from boss green to your wardrobe basics featuring a contrast rubberized logo highlight at the shoulder this soft t shirt blends function style and comfort in equal measure a perfectly versatile staple for your go to weekend casual wear 
reversible leather belt with pin buckle 
providing two accessories in one this timeless belt can be easily reversed to show a different color crafted from rich leather the design secures with a brushed metal pin buckle a versatile addition to your business or travel wardrobe 
calfskin reporter bag signature ns zip
this boss bag offers an embossed update to your accessories collection with perfect storage for quotidian needs 
stretch wool slim fit pencil skirt 
a polished business skirt which blends crisp tailoring with clever fabric engineering designed with an innovative stabilized inner waistband the elegant pencil silhouette is crafted from virgin wool blended with elastane for lasting comfort and a perfect fit a signature staple design zipper pull to the rear and a back vent complete the piece part of the boss womenswear fundamentals collection a capsule of modern business essentials that will form the essence of your tailored wardrobe for years to come 
calfskin pebbled wallet signature coin
this pebbled wallet by boss features an interior coin pocket for easy organization and access to exact tender pebbled calfskin updates seasonal accessory collections 
fix fastening tie clip with engraved logo
a clean sharp accessory in polished metal by hugo man this elegant design is detailed with an engraved logo and a secure clip fastening create a streamlined formal look with coordinating cufflinks 
signature collection wallet in palmellato leather
this italian made item is set in rich textured palmellato leather by boss packing plenty of designer flair into its compact size it is fully lined and trimmed with silver hardware to coordinate with the rest of the boss signature range 
four slot card holder in smooth leather
a compact essential in rich leather by hugo this premium card holder boasts four slots to keep your daily effects in order finished with blind embossed logo detail coordinate this with a matching hugo wallet for everyday style 
leather and mesh sneaker akeen
these leather and suede sneakers are packed with both sporty and stylish details a contrast logo detail on the side lace up vamp with logo bar detail and contrast rubber outsole complete this look a logo detail runs along both sides 
baseball cap in technical piqué 
a modern essential designed in breathable sports piqué fabric by boss this structured lightweight cap is enhanced by a large authentic contrast logo and a lasered logo accent on the metallic adjustable closure add this versatile option to your off duty collection for easy style 
slim fit shirt in stretch poplin 
crafted in a cotton rich stretch poplin this long sleeved slim fit shirt offers superb comfort and an impeccable finish a reliable option for business wear the shirt features a modern spread collar and squared cuffs team with tailored pants and a v neck sweater for a pared back professional look 
extra slim fit pants in virgin wool
flat fronted business pants in yarn dyed virgin wool by boss menswear crafted in our extra slim fit for a sharp formal aesthetic the design fastens with a zipper and one way hook and bar closure for an impeccable finish an expertly constructed soft waistband and smooth lining ensures day long comfort part of the create your look collection offering separates in a range of sizes and fits that can be combined to create a suit that matches your body type 
slim fit jogging bottoms with contrast trims
sporty jogging bottoms cut to a defined fit by boss menswear engineered in a cotton blend with double faced construction these cuffed pants feature a drawstring at the elastic waistband and pops of color for contrast team them with the coordinating sweatshirt for laid back leisurewear 
jacquard tie in fine silk 
a polished elegant accessory in fine silk by hugo man this versatile cm inch style features a precise jacquard texture to the fabric for subtle interest add this impeccable option to your collection for elevated appeal 
 signature_d zip trav leather travel organizer
elegant palmellato embossing offers elegant texture in this zip travel wallet by boss 
virgin wool slim tie 
this sleek slim tie has a self tipped design for an elegant look pure virgin wool construction give it a soft handle 
stretch cotton jeans slim fit delaware
these jeans are made in a neutral earthy hue for elegant casual wear precise stretch allows for a tailored comfortable fit 
three pack of boxer briefs in one way jersey cotton
three pairs of boxer briefs by boss created in one way jersey cotton each regular rise pair is detailed with an exposed waistband carrying the iconic boss logo presented in a branded box these boxer briefs offer dependable comfort and support 
three pack of underwear t shirts in pure cotton
three underwear t shirts by boss designed with short sleeves and a crew neckline each regular fit t shirt is crafted in pure cotton providing a layer of breathable warmth underneath everyday looks a boss logo towards the hem adds a stamp of distinction to these modern designs 
signature collection card holder in grained palmellato leather
part of the boss signature collection this italian made card holder is handcrafted in palmellato leather with a unique boss grain and trimmed with polished metal hardware complete with four card slots this understated essential is designed to pair perfectly with other items in the range 
slim fit jacket in virgin wool
this slim fit suit jacket is designed with high performance virgin wool for natural stretch and comfort by boss menswear with classic notch lapels and a two button fastening the jacket features distinctive workmanship details including amf stitching and a divided internal lining part of the create your look collection offering separates in a range of sizes and fits that can be combined to create a suit that matches your body type 
three pack of v neck underwear t shirts in cotton
three underwear t shirts by boss crafted in pure cotton for natural comfort and breathability designed with a v neckline to sit discreetly under clothing each t shirt is detailed with a boss logo towards the hem layer these adaptable pieces under everyday looks for additional warmth on chilly days 
triple pack of briefs in stretch cotton 
crafted in dynamic stretch cotton for total comfort in movement these briefs provide an impeccable underwear option cut to a classic brief shape each pair features an elasticated waist with contrast logo detail the perfect foundation for everyday dressing 
triple pack of trunks in stretch cotton 
three pairs of stretch cotton trunks designed to provide ultimate comfort in movement each pair features an iconic elastic waistband bearing distinctive contrast logo detailing stock up on this essential basic for everyday luxury 
triple pack of boxer briefs in stretch cotton 
crafted in dynamic stretch cotton these boxer briefs offer a comfortable everyday option cut with a slightly longer leg length each pair is finished with an elastic waistband featuring distinctive contrast logo detailing designed to provide the perfect fit and superb comfort in movement 
slim fit chinos in stretch cotton gabardine
modern narrow leg chinos by boss menswear this expertly designed pair is crafted from finely woven stretch gabardine twill for an elegant yet relaxed appearance with a little extra room at the thigh for easy movement these chinos provide a versatile base for smart casual looks 
regular fit chinos in stretch cotton gabardine
comfortable chinos with a straight fit by boss menswear this expertly designed pair is crafted from finely woven stretch gabardine twill for an elegant yet relaxed appearance with a little extra room at the thigh for easy movement these chinos provide a versatile base for smart casual looks 
stripe embroidered silk slim tie
playing with both texture and patterns this boss tie features piped and embroidered stripes for a monochromatic twist 
leather belt with brushed gunmetal buckle
a casual belt by boss crafted in rich leather cut to a cm inch width this contemporary design features a buckle closure in a brushed gunmetal effect with an engraved logo a leather keeper ensures the tip of this belt stays in place 
""
""
skinny fit jeans in coldblack stretch denim
styled in hugo man s flattering mid rise fit these are the perfect update for your everyday collection the mid weight denim is blended with stretch and treated with innovative coldblack uv protection technology for heat management even in direct sunlight a cutting edge take on the essential five pocket skinny jean 
extra slim fit trousers in virgin wool poplin
formal trousers by hugo menswear cut to an extra narrow fit for a sharp silhouette detailed with signature flashes of red at the inner waist these flat fronted trousers are crafted in italian virgin wool poplin created exclusively for hugo with natural stretch for extra comfort style this contemporary pair with the coordinating jacket for a modern take on tailoring 
regular fit piqué polo shirt with quick dry technology
blending functional engineering with distinctive design this regular fit polo is a versatile activewear staple its innovative fast drying technology provides reliable moisture management and the active stretch fabric is crafted with eco friendly s café fibers for high performance odor control finished with short sleeves a three button placket and fresh colorful tipping to the collar it can take you easily from the golf course to weekend activities 
slim fit pants in pure virgin wool
slim fit style crafted in yarn dyed virgin wool and lined with pure cotton by boss menswear designed with a flat front the subtlety of the stitching on this pair ensures a clean modern finish wear with a refined slim fit suit jacket for formal coordination part of the create your look collection offering separates in a range of sizes and fits that can be combined to create a suit that matches your body type 
regular fit t shirt in single jersey
a versatile building block in super soft single jersey by boss simple and timeless this crew neck t shirt is lightly detailed with logo highlights at the left chest and the shoulder just add jeans and low top sneakers for casual appeal 
slim fit waistcoat in virgin wool
set in pure yarn dyed virgin wool this slim fit waistcoat offers a refined formal finish by boss menswear with a four button fastening and adjustable back precise craftsmanship is displayed in the front edge amf stitching and double piped pockets part of the create your look collection offering separates in a range of sizes and fits that can be combined to create a suit that matches your body type 
signature collection money clip in palmellato leather
a contemporary accessory from the boss signature collection impeccably crafted in italy from rich textured palmellato leather this functional money clip features polished metal hardware card slots and refined logo details team this elegant option with coordinating wallets smartphone covers and business bags from the same range 
silk blend blouse with gathered neckline
this elegant blouse offers soft refined styling with a premium finish made from a luxurious silk blend with a touch of stretch the fluid shape is given structure through a gathered neckline and smart buttoned cuffs a feminine option with subtle volume for day to evening versatility 
textured crepe pencil skirt madea
with a textured stripe design this pencil skirt is constructed with precise stretch for an ideal fit a neutral hue and clean tailoring offers versatility to formal and casual outfits 
slim fit business shirt in cotton poplin
providing a versatile option throughout the week this slim fit formal shirt has been crafted from pure cotton poplin a kent collar offers an elevated effect while squared cuffs add to the shirt s clean modern lines the perfect addition to your business wardrobe 
slim fit virgin wool jacket with silk details
a refined expertly crafted formal essential in virgin wool serge as part of the create your look range by boss menswear this timeless tuxedo style jacket features a modern narrow fit contrast silk trims a two button closure notch lapels and smooth lining for comfort couple with the coordinating boss pants for a rich evening look the create your look collection allows you to combine different sizes and fits to build a suit that perfectly matches your body type offering freedom of movement maximum comfort and versatile style 
slim fit formal pants in virgin wool with silk trims
an elegant suit separate in rich yarn dyed virgin wool as part of the create your look range by boss menswear trimmed with refined accents in silk these narrow cut formal pants feature a zipper fly cotton pocketing and side slash pockets pair with the coordinating jacket for distinctive evening style the create your look collection allows you to combine different sizes and fits to build a suit that perfectly matches your body type offering freedom of movement maximum comfort and versatile style 
patent leather oxford shoes with grosgrain collar piping
an impeccable pair of formal oxford shoes in high shine patent leather by boss crafted in italy on our iconic evening last set on a leather sole this streamlined aesthetic is enriched through stitched and turned details and precise grosgrain piping at the collar supplied with protective boss dustbags for each shoe this elegant design makes a perfectly polished impression for special occasions 
logo waistband briefs in four way stretch microfiber
exceptionally comfortable and flexible briefs by boss menswear crafted in premium four way stretch microfiber for lightweight quick drying appeal this form fitting pair is topped with an iconic boss logo statement at the front elevate your everyday basics with this refined timeless design 
extra slim fit dress shirt in cotton sateen
a dress shirt by hugo menswear cut to a super streamlined fit crafted in pure cotton sateen with a subtly lustrous finish this elegant shirt is detailed with a kent collar and squared cuffs layer it under a sharp suit and add a creative tie for occasion ready confidence 
t_test
t_text
extra slim fit jacket in virgin wool stretch poplin
a modern jacket by hugo menswear created in virgin wool poplin developed exclusively for hugo with natural stretch delivering a flexible feel and lasting shape this sharp blazer is detailed with amf stitching at the edges back neck labeling adds a signature pop of red to this suit separate 
slim fit polo shirt in washed cotton piqué
a typically laid back take on a laid back staple by boss this short sleeved polo shirt is cut to a contemporary narrow fit and detailed with a chest logo patch ribbed cuffs sporty structured stripe at the collar and a garment washed finish for casual appeal dress for the occasion by teaming it with chinos jeans or shorts 
crew neck sweater in virgin wool
a modern design in ethically obtained virgin wool by boss menswear with a crew neckline and a slim fit this contemporary sweater features subtle structuring at the side seams build an array of looks with jeans shirts and your favorite jackets 
t_test us
t_text us
regular fit virgin wool jacket with amf stitching
treat your business wardrobe to this impeccable suit jacket crafted in yarn dyed virgin wool with natural stretch and intense depth of color designed with a two button fastening notch lapels and side vents the jacket exhibits precise craftsmanship through amf stitching at the collar front edge and pockets inside there is a signature button contrast piping and a pencil pocket part of the create your look collection offering separates in a range of sizes and fits that can be freely combined to create a suit that perfectly matches your body type 
regular fit wool and cashmere coat
a chic streamlined design in virgin wool blended with a touch of cashmere by boss womenswear this straight fit two button coat is designed with slimline notch lapels timeless blazer styling and a minimalist front placket add it to your formal wardrobe for a luxuriously cozy elegant layer 
cotton blend zip jacket jacket zip
made with a cotton blend for precision construction this boss jacket features a slim tailored fit and minimalist sporty design makes for elegant daywear style 
extra slim fit jacket in pure wool
in an extra slim fit for form enhancing precision this suit jacket has been expertly crafted in yarn dyed wool by boss menswear it features amf stitching at the collar front edge and pockets notch lapels two button fastening and a smooth lining part of the create your look collection offering separates in a range of sizes and fits that can be combined to create a suit that matches your body type 
hooded jacket japple
this boss jacket features a leisurely contemporary design in activewear style 
roll neck sweater in mercerized merino wool
a luxuriously soft cozy foundation in rich merino wool by boss womenswear this elegant long sleeved sweater is detailed with ribbed trims and a roll neckline wear this simple separate with patterned skirts or under a blazer for effortless everyday style 
straight leg business pants in virgin wool
contemporary business pants made from yarn dyed virgin wool by boss menswear the style features a straight leg double hook and bar closure and smooth lining the precise craftsmanship throughout ensures a clean elegant finish part of the create your look collection offering separates in a range of sizes and fits that can be combined to create a suit that matches your body type 
slim fit casual chinos in brushed stretch cotton
comfortable versatile casual pants in easy wear stretch cotton by boss this slim leg pair is detailed with signature orange stitching and herringbone tape at the inner waistband a reactive wash treatment and brushed finish ensure that the satin fabric is super soft offering everyday wearing comfort 
regular fit casual chinos in brushed stretch cotton
comfortable versatile chinos in easy wear stretch cotton by boss menswear with double loops to accommodate most belt widths these straight leg pants feature small coin pockets and signature orange stitching brushed for optimum comfort and treated with a reactive wash for softness these chinos are an essential in any casual wardrobe 
regular fit jacket in italian stretch wool
a tailored jacket by boss womenswear cut to a timeless silhouette crafted in italian wool blended with a hint of stretch for elevated comfort this feminine blazer is detailed with notch lapels flap pockets and a cufflink closure a full lining completes this versatile jacket
slim fit shirt in pure cotton with spread collar
a contemporary shirt by boss menswear cut to a slim fit crafted in pure cotton this long sleeved piece is styled with a spread collar for easy wear both with or without a tie reach for this refined shirt to underpin a sharp boss suit 
italian leather derby dress shoe hannover derb pr
made in italy with the same sturdy palmellato leather found in our leather goods collection this dress shoe has a textured design for distinction in texture an open lace construction offers ease in wear 
formal slim fit shirt in pure cotton 
add this refined shirt crafted in pure cotton poplin woven in austria to your formal evening attire for distinctive elegance a finely ribbed insert precise half shark collar and a partially concealed button placket with contrasting black shank buttons give this shirt its polished character pair it with a precision cut tuxedo for an impeccable contemporary look 
regular fit t shirt in soft cotton
a super comfortable versatile casual piece by boss menswear cut to a straight fit with a crew neckline this short sleeved t shirt is crafted in extra soft cotton for optimum comfort work it into your everyday go to collection for an adaptable foundation 
slim fit checked shirt in cotton with double cuffs
a business shirt by boss menswear cut to a streamlined fit crafted in pure cotton for natural comfort and breathability this modern shirt carries an all over check to add interest to a two piece suit style the spread collar with or without a tie and secure the double cuffs with boss cufflinks for a refined appearance 
pointed toe pumps in italian leather
sleek streamlined pumps in rich italian leather by boss womenswear crafted in italy this pointed toe pair features a mm inch leather covered heel and soft comfortable lining team them with everything from professional tailoring to laid back denim 
slim fit formal pants in virgin wool
versatile pants in virgin wool by boss menswear these formal pants offer a defined fit with a crisp front crease straight leg and regular rise combine them with the matching boss jacket for refined businesswear 
extra slim fit shirt in stretch cotton
a contemporary business shirt crafted in cotton blended with stretch by hugo man cut to a streamlined narrow fit this sleek design features a modern kent collar squared cuffs and long sleeves team with sharp tailoring for sleek monday to friday dressing 
virgin wool jacket in a regular fit
a plain suit jacket by boss menswear cut for a straight fit in virgin wool this jacket features notch lapels a two button closure and smooth lining for easy layering designed to coordinate effortlessly with the boss pants this suit separate makes a valuable addition to any business wardrobe 
long length coat in a virgin wool blend
a smart coat by boss menswear crafted in a virgin wool blend for a soft feel cut to a long length with buttons through the centre front this formal coat features a stand collar two flap pockets and a chest pocket this fully lined piece is ideal for layering over modern tailoring 
soft suede leather belt with polished gunmetal pin buckle
a relaxed interpretation of an essential accessory in soft suede by boss designed to coordinate with the boss footwear collection this refined belt is offered in a rich color palette and secures with a slimline logo engraved pin buckle and leather keeper show off your softer side on business and casual ensembles alike with this distinctive piece 
turtleneck sweater in lightweight italian cashmere
a distinctive sweater knitted in pure italian cashmere part of the boss tailored collection designed for luxurious comfort and lightweight warmth this regular fit sweater features a turtleneck and is trimmed with a boss badge above the ribbed hem layer it under a sharp suit or team it with denim for laid back refinement 
regular fit formal pants in virgin wool
straight leg pants in virgin wool by boss menswear these regular rise pants feature cotton pocketing a tab waistband and partial lining for comfort against the skin wear them with the coordinating boss jacket and a crisp shirt and tie 
open cardigan fatitutde
with an innovative seamless construction for minimalist appeal this knitted edge to edge layer is blended with a touch of cotton for luxurious softness wear it over elegant dresses or team with blouses and skirts for a put together aesthetic 
slim fit tailored jacket in mid weight virgin wool
a fully lined tailored jacket by boss menswear created in virgin wool with a smooth structure styled with notch lapels flap pockets and kissing buttons at the cuffs this design is cut to a narrow fit with side vents for ease of movement a felt undercollar and amf stitching seal off the refined esthetic of this adaptable piece which can be teamed with the matching pants 
tailored slim fit waistcoat in virgin wool
a refined waistcoat cut with a narrow fit for modern appeal part of the boss tailored collection crafted from virgin wool with a super soft feel this five button waistcoat features a silky lining that also appears at the adjustable back and is finished with welt pockets and signature amf stitch detailing combine this easy wear waistcoat with sleek tailoring or create a pared back look with streamlined denim 
wooden shoe trees
a functional design for keeping your shoes in impeccable shape by boss crafted from smooth wood this adjustable shoe tree features an embossed logo at the shaped heel cap and a single spring lengthways to protect the shape of the toe use this crafted design to keep footwear in impeccable condition 
leather belt with signature stitching
a versatile casual accessory in rich leather by boss trimmed with signature orange stitching this laid back belt secures with an antique effect pin buckle featuring an engraved logo use it to pull together everyday looks with a touch of boss dna 
derby shoes in burnished leather
richly detailed formal footwear crafted in italy by boss menswear with soft cognac lining and a comfortable rubber sole these easy wear derby shoes are shaped in plain burnished leather for a characterful effect supplied with spare laces and a protective dust bag this refined pair strikes a confident professional note 
woven belt with polished metal hardware
an elegant casual belt crafted in a woven technical fabric by boss cut to a cm inch width this textured design is trimmed with smooth leather and a polished metal pin buckle for timeless appeal round off chinos and denim with this distinctive accessory for effortless summer style 
striped cotton sport shirt relaxed fit emilton
this sport shirt features double stripes and an oversized fit for absolute comfort cotton adds to its durable profile wear it with a pair of chino pants over the weekend 
tennis style sneakers in burnished leather
expertly crafted sporty footwear in full grain leather by boss menswear made in italy with cemented construction for durability these low top sneakers feature hand finished burnishing refined cognac lining and a tonal aesthetic to the rubber outsole use them to complete any look with both athletic and distinctive flair 
slim fit pique polo shirt with contrast tipping
a contemporary polo shirt made in stretch cotton knitted piqué by hugo menswear with contrast tipping at the collar edge and cuffs this top offers a streamlined take on a wardrobe basic add this smart casual foundation to your core collection for individual style 
reverse logo embossed leather belt
an unconventional belt in smooth leather with black varnished hardware by hugo laser embossed with the iconic reverse logo along the cm inch strap this basic accessory is finished with signature red stitching amp up business and evening looks with this progressive design 
extra slim fit stretch cotton pants with signature detailing
flat fronted pants delivered in stretch cotton for ultimate wearing comfort by hugo menswear offering an extra narrow fit with a skinny leg these pants feature a signature hugo belt loop for a subtle yet distinctive detail wear them with everything from a graphic t shirt to a sleek shirt for a range of style options 
extra slim fit jacket in yarn dyed virgin wool
a contemporary two button jacket in virgin wool by hugo menswear the fabric of this extra slim jacket has undergone a unique yarn dying process resulting in an intense depth of hue that won t fade over time finished with notch lapels and iconic hugo lining this versatile piece pairs effortlessly with a printed shirt and crisp formal pants 
extra slim fit pants in pigment dyed virgin wool
streamlined pants created in virgin wool by hugo menswear cut to an extra narrow silhouette these tailored pants feature a hook and zip closure and are made using yarns dyed with advanced pigments for intense lasting color this contemporary pair makes a sharp addition to your formal collection 
calf leather derby shoes with full leather sole
sleek derby shoes by hugo built on our iconic last for formal appeal created in smooth calf leather this premium pair features a full leather sole and a soft leather lining with a flex foam insole for enduring comfort finished with angular stitching details for a touch of hugo flair these contemporary shoes will round off any tailored ensemble 
extra slim fit stretch cotton pants with mesh effect
streamlined pants by hugo menswear cut to an extra narrow fit in comfortable stretch cotton twill crafted with a tone on tone mesh effect structure for a subtly textured appearance these garment dyed pants feature a front crease for a sharp silhouette build a host of casual looks with this versatile pair 
beanie hat in pure cashmere with turnback hem
a modern beanie hat knitted in pure cashmere as part of the boss tailored collection this luxurious accessory is designed with a ribbed structure and a turnback hem trimmed with a metal logo badge choose this winter essential to add exclusive appeal to any ensemble 
two pack of cotton blend invisible socks with silicone grip
two pairs of invisible socks by boss designed to remain hidden with low profile shoes and sneakers these socks are made from a sustainable cotton blend with stretch for comfort and a combed finish for softness carefully placed silicone grips ensure a precise fit and optimum hold 
regular fit suit in virgin wool with natural stretch
